PARAMETER,METRIC,Q avg,Q std,S avg,S std,RMSE abs,RMSE rel,ICC
stride_length,mean,1.035960902399439,0.15148299074519134,1.040034009625086,0.15085789790263557,0.021765969888220982,0.021010416356261875,0.989997478968441
stride_length,cv,15.1554010837585,8.864562039164351,14.828647785269602,7.091506487175461,4.139058919383994,0.2731078442931923,0.8678897260255488
stride_length,asymmetry,7.965592375453764,5.534041531934904,6.933618023259195,5.175619756137034,3.9698440987554235,0.4983739955095655,0.7440513599777685
stride_time,mean,1.4350922049934525,0.30101490589882324,1.396765177794544,0.30980943138589184,0.058470428766789054,0.0407433254555625,0.9895502941341108
stride_time,cv,7.8668210359796795,3.980260978749082,7.6978872354444885,2.785448752162935,3.160746417398205,0.40178191456780576,0.5779122098296056
stride_time,asymmetry,4.110821584418834,3.211520228824885,4.650348242868539,2.913617055185826,3.9457991845572065,0.9598565891336397,0.1874583503974109
stride_velocity,mean,0.7713137840999721,0.24942640965565982,0.7979387845490735,0.2625967116490662,0.034715567077081316,0.04500835819703403,0.996216529663126
stride_velocity,cv,16.27275801215176,7.829462997173123,14.001157718645445,4.566827581491385,5.5385119406827945,0.34035483945296086,0.6894344801375669
stride_velocity,asymmetry,7.027215693034414,4.64160937272589,6.958047832349385,4.6534873480079675,6.4494468883684615,0.9177812621806025,0.037243527401928454
base_of_support,mean,0.1917447473023957,0.02588381797866881,0.10353196950457207,0.018533654515888395,0.0891621760170867,0.46500452957113514,0.8338384619189256
base_of_support,cv,9.9782440372787,3.5036052609421415,17.711140908820887,5.258570628259895,8.20799976980165,0.8225895998470852,0.8103185406337162
base_of_support,asymmetry,3.8083021065388256,2.6606885367443738,4.135395918922125,2.9801846814625725,3.208844080549004,0.8425917878309714,0.3615788174419013
double_support_time,mean,0.34063619713619714,0.1635262045469053,0.18690993734772018,0.1177736559149273,0.17021930018585282,0.49970995923781336,0.8684398923592199
double_support_time,cv,23.967813278436417,4.9158073197686365,50.693757066503764,21.182343399275144,33.53639877655095,1.3992264703899078,0.13205447723391225
double_support_time,asymmetry,10.460894463731696,9.038059359891387,31.743991392451708,23.354472837039502,29.704040219832386,2.8395315833476173,0.31534440677650066
swing_time,mean,0.6087104818258665,0.0801051439292431,0.6499661020226631,0.11481835519967108,0.08266913153123367,0.13581026448445943,0.7381563334072606
swing_time,cv,11.545222105788648,5.853737817640306,12.761233655781549,6.9263613959918064,5.028414603576842,0.4355407420924063,0.7105294452808332
swing_time,asymmetry,8.413638778799035,5.564466964163704,14.021055808190537,13.310511683841366,14.025732291915514,1.6670233487154236,0.20590185333350475
knee_ext_rom,mean,57.865949418375145,6.696946445906781,32.897651308243326,5.466689097033739,26.51750158545056,0.4582574355382479,-0.06728146685396376
knee_ext_rom,cv,6.069659227107472,8.276631550495102,17.10214228730581,6.437337552596934,13.427013367070257,2.21215275267916,0.46727333498586876
knee_ext_rom,asymmetry,5.754527618345984,4.56750540461712,9.547558944590238,5.982785171761945,8.841666028248294,1.5364712126952382,-0.12588551313695376
shoulder_flex_rom,mean,16.270735362627704,7.987824757196667,17.105341904171155,6.62352940567911,5.499272801390322,0.3379855107238494,0.7256092362948697
shoulder_flex_rom,cv,24.712946909127485,9.520797933887886,31.893639761226467,10.253520461186442,12.308091313776751,0.49804223506954076,0.48959739750280173
shoulder_flex_rom,asymmetry,27.913252217642253,14.352912406739305,20.731004522986478,13.8585023232311,20.14959120949054,0.7218646918095493,0.10963768984423101
shoulder_abd_rom,mean,8.645260517986296,2.678495411661287,5.376199913557947,1.8951812652832083,3.972846146404364,0.4595403618131501,0.5265905870515301
shoulder_abd_rom,cv,20.231560500358906,10.487617898194058,38.31235129019849,11.771246096110705,22.876111972913588,1.130714161792303,0.20981840453256592
shoulder_abd_rom,asymmetry,21.79877473912109,14.083757105772317,27.87716522040955,13.616824030521736,16.250676882937753,0.745485793464049,0.40814132767571576
elbow_ext_rom,mean,27.116347341476946,20.297971757038294,36.48490761862985,14.33007692592045,20.661996368551925,0.7619756491667115,0.45064653964735135
elbow_ext_rom,cv,57.46539211184309,41.71957603244902,57.43094393494975,29.15563717334012,58.90631908090741,1.0250746913248219,-0.33945332913073656
elbow_ext_rom,asymmetry,31.532873827450345,26.034289059132853,37.503161355800664,27.235725764258174,47.588940211549755,1.5091850007696446,-0.5702392435202205
