PARAMETER,METRIC,Q avg,Q std,S avg,S std,RMSE abs,RMSE rel,ICC
stride_length,mean,1.1275219222584612,0.10486748918888504,1.1309235932237898,0.11400047075770908,0.026601036552637264,0.02359247836117862,0.9709900743411316
stride_length,cv,16.165595133852307,8.993701191388709,15.298521398827416,7.704608125021972,3.5707951407582077,0.2208885668106719,0.9144459012976213
stride_length,asymmetry,10.142342547681803,7.735878598432714,8.992465846811404,5.671275415141256,3.8819927733874002,0.3827511006591562,0.850580671114126
stride_time,mean,1.1939862330812894,0.15743937063266727,1.1475677753135667,0.13523573777743755,0.054213728192809944,0.04540565602075828,0.9817889857698746
stride_time,cv,6.21251206762545,2.2889778907161005,8.438425709070868,3.2841261477756336,3.577507112827161,0.5758551571223841,0.51052028534
stride_time,asymmetry,4.152767767292291,2.613196415061121,5.008690562634403,2.3786393043428684,2.6428125171920485,0.63639785928006,0.49931976153767527
stride_velocity,mean,0.9662935826961843,0.20178351259719107,1.0047253146420356,0.20100716079102154,0.04200762480093938,0.043472941922814305,0.9964541312439923
stride_velocity,cv,14.368224687671926,7.096183973096563,12.441699540626743,4.512045901817462,3.614755378541185,0.2515798198536441,0.8677078605998201
stride_velocity,asymmetry,8.48427544917818,7.175046204621658,6.6303723643492845,4.439477699117852,4.97951523857764,0.5869110766624126,0.6999783638987542
base_of_support,mean,0.19129767137618617,0.026168599615059223,0.09835833621213907,0.016334204237615915,0.09399075411726206,0.4913324529310636,0.7934621058965147
base_of_support,cv,11.027893675133983,2.7481649213949044,19.745304561289156,4.796059547333856,9.259718078854695,0.8396633438472278,0.6809276802105618
base_of_support,asymmetry,2.9420746536168205,2.2628145112948856,4.386020120542342,2.127770483056514,2.997910269171946,1.0189783136490043,0.28454852616867
double_support_time,mean,0.258064347932769,0.02927385598904611,0.12716581196581198,0.04229046894521051,0.1408304276312449,0.5457182627486927,-0.020163062431657823
double_support_time,cv,27.228044860976762,11.185305244263056,53.223494506397536,14.128597179979616,26.591913927790277,0.9766369220987222,0.9034069930244718
double_support_time,asymmetry,14.325698602438326,10.999219789068158,40.75984224595725,29.07880031697192,35.41036776201447,2.471807396254127,0.42566369101803425
swing_time,mean,0.5832629135409224,0.07266669754204881,0.5558741540644598,0.06259790486407193,0.03129699035355701,0.053658461093568526,0.9750669865931352
swing_time,cv,7.193403948705703,4.48676748673484,11.83583679527379,7.04277174152557,5.909219067635325,0.8214774409684806,0.8083126593340284
swing_time,asymmetry,5.8249401890987205,5.153188157268799,7.983508712923412,6.507275746105354,3.500104661206526,0.6008825065288935,0.889821246303623
knee_ext_rom,mean,37.27919674384482,5.189724829974841,27.78551145045205,4.138396856533866,12.356893726518242,0.3314688836088855,-0.4199584511896856
knee_ext_rom,cv,10.306482243315031,6.715973433587854,18.582035622427508,6.141182462290479,13.680903043476038,1.3274076178950114,-0.43304258449771005
knee_ext_rom,asymmetry,13.9117031318692,10.958566426880463,12.780949560508155,5.829983647545897,13.8225037736827,0.9935881784321461,-0.23172622842240762
shoulder_flex_rom,mean,14.13890560286575,4.972230475486228,15.21610081175164,4.7188897996136925,4.160533310338465,0.29426134010649213,0.65632378554123
shoulder_flex_rom,cv,21.21000074148662,12.415959328012201,29.088354077084063,7.40481484621669,16.057878788752788,0.7570899682876335,0.06316320273912646
shoulder_flex_rom,asymmetry,24.54064514287766,18.745639523758754,26.52670951307391,7.718533288158352,17.849626297797485,0.7273495131800932,0.23434541485033916
shoulder_abd_rom,mean,10.692046314913252,2.3925809989907076,5.622226505020281,2.4346025042745123,5.513227564293152,0.5156382045037824,0.5972611804478958
shoulder_abd_rom,cv,15.471182048636381,6.871920371683573,42.813228509846226,16.344316766501123,32.511000528225026,2.101390858566655,0.015849121432974657
shoulder_abd_rom,asymmetry,14.934275801876536,13.853478380053701,28.48967607666726,12.897483415169782,20.23234030052688,1.3547587153830805,0.3703002418435511
elbow_ext_rom,mean,21.38093377623938,10.776746998183768,25.673650714097036,9.78657818664536,9.675239263144672,0.4525171521693201,0.6452223850533492
elbow_ext_rom,cv,25.150148797225434,10.619469958500302,49.959456639885325,18.311953756582415,31.88663601435508,1.2678507897286404,0.10454119403048487
elbow_ext_rom,asymmetry,20.733542019298906,15.762057743104876,28.320829487153386,21.20687335372777,30.526352998931344,1.4723173189856915,-0.2522542650604495
