PARAMETER,METRIC,Q avg,Q std,S avg,S std,RMSE abs,RMSE rel,ICC
stride_length,mean,1.0268406625612367,0.1454801854385155,1.0414789401187434,0.15231135930988363,0.019648726483100183,0.019135126996325403,0.9961275753588097
stride_length,cv,14.890738489775737,6.6880048873586535,16.2159009102015,7.731539846810585,2.4139586534950843,0.16211141275179564,0.961043994103816
stride_length,asymmetry,8.617240373898618,6.119874167351996,9.358415792815691,6.51124245972372,1.7651814438175688,0.20484300857664994,0.9678578305783285
stride_time,mean,1.475739114891379,0.3647020040051351,1.4158345747875463,0.3524778500277463,0.06290990915691566,0.042629424484385316,0.9985651881549783
stride_time,cv,6.089875205515194,1.997495245674511,6.45644380956583,2.052084674911098,1.1919524315798178,0.1957269059471606,0.843144497443674
stride_time,asymmetry,3.737840672567351,2.1117847303863466,3.081233200237382,2.5343308153291204,1.2460044607273237,0.33334873523956293,0.8969540914551712
stride_velocity,mean,0.752505100507334,0.24317638526630472,0.7956626274911021,0.2610398466703296,0.0478597647042725,0.06360058512826791,0.996637362323609
stride_velocity,cv,15.304037027049684,4.9072906437115265,15.965228563772214,6.171563305701365,2.07499777310877,0.13558499430191123,0.9377760900376572
stride_velocity,asymmetry,7.716399834452496,5.04290953341752,8.243217493969276,5.377300433626111,1.8683699608320559,0.24212974974288937,0.9408741778157407
base_of_support,mean,0.19512954350372802,0.023222388985892378,0.10914511211046189,0.019590133711119194,0.08674985250506652,0.4445756954451602,0.8567638996142034
base_of_support,cv,10.8420885788697,3.4731471769819304,20.593116587183474,9.529878522036253,11.913146272389406,1.0987870266626585,0.5447132713394794
base_of_support,asymmetry,3.3791447683551783,2.0501586045160156,4.938249899805031,3.227342296087489,2.635678732038472,0.7799839642032876,0.6910850276489096
double_support_time,mean,0.32406731204598566,0.22199486965653772,0.23515601286954413,0.20938610153637494,0.11244537927589789,0.34698155320256957,0.9491137528045188
double_support_time,cv,25.140989549216194,8.996451288151555,42.384473616126726,28.241986100110417,33.16531040989315,1.3191728330727988,0.08644493312524162
double_support_time,asymmetry,8.882457479309643,7.4157086882546475,28.07461971141045,27.1917232828161,28.17316701051447,3.171776175246507,0.4645045412637057
swing_time,mean,0.5659341821474282,0.09252729228790857,0.6006550415831967,0.06698184962706404,0.05278088644810021,0.09326329476658218,0.8788856620422458
swing_time,cv,8.836088273416737,4.279520852788164,9.18574744473801,5.910750862212151,4.331612234609846,0.49021830708068503,0.6499501055073009
swing_time,asymmetry,4.903624962015415,3.909976379677998,9.122099467182997,6.621792740707388,6.869038980381626,1.40080838840465,0.5030414242861275
knee_ext_rom,mean,56.43455809746467,6.168723942482834,33.28188852449978,5.067593775981443,24.143257626067808,0.427809810867509,0.2648974003334247
knee_ext_rom,cv,7.4063165680873855,5.842312443954941,18.324320060204727,5.3689618236712,13.946844109617084,1.8831012665204954,-0.19621371137488186
knee_ext_rom,asymmetry,10.649141493429218,9.567584729360274,12.579517557870256,7.747930501698913,12.810414731492768,1.202952814496559,-0.05813367607174409
shoulder_flex_rom,mean,15.437497599190097,7.500993941756617,16.113149417727616,5.786038949767139,3.7784820048749284,0.24476000599171982,0.8460002816089163
shoulder_flex_rom,cv,31.182413044619473,16.884789878031505,31.458094085308904,7.744613042046386,15.761328398297206,0.5054556995234474,0.2803206334597998
shoulder_flex_rom,asymmetry,29.418619895258672,17.924055248753838,17.758077515907992,12.10621354939908,20.320416452728228,0.6907331657663255,0.4080118938001113
shoulder_abd_rom,mean,8.66772654797504,2.6877584800696255,3.639185905892761,1.1203008289421703,5.346156265829339,0.6167887549565476,0.6113787766686593
shoulder_abd_rom,cv,21.616151633988732,11.994720690832942,32.965459968371704,4.9560771826169905,17.48954362888015,0.8090960835683628,-0.0513032242434893
shoulder_abd_rom,asymmetry,21.1918846912509,14.49893453454433,22.34093745621352,13.323527559048486,18.817676566135127,0.8879661644206678,0.09014098820305017
elbow_ext_rom,mean,26.181109638023628,20.985971968456912,29.5869144399605,13.887087315054762,27.51570962136225,1.050975684445412,-0.17726078338218385
elbow_ext_rom,cv,62.11570544984242,47.825007685958994,57.95282979557863,24.768028937996935,60.54907566451304,0.9747788458010122,-0.25793010797162547
elbow_ext_rom,asymmetry,36.27721309697025,25.545415904899443,44.72981407314802,26.886760646363857,39.09604102335103,1.0777024386863994,-0.05931646324722248
