PARAMETER,METRIC,Q avg,Q std,S avg,S std,RMSE abs,RMSE rel,ICC
stride_length,mean,0.9306984671183255,0.1416932535445419,0.9327138781788463,0.13489771681358992,0.02268533110377422,0.024374522904301824,0.9866604639733796
stride_length,cv,13.076572117514221,7.7577120308464655,13.100631566649694,5.227918825898418,4.316440290998061,0.33008958710339686,0.7871055876649418
stride_length,asymmetry,6.922816999376813,4.802348820653523,7.246069801460426,5.554863050675019,3.5991812403023187,0.5199012541608877,0.7616869846591517
stride_time,mean,1.7086995798319327,0.2334638668681539,1.6784590169401095,0.2562922721173609,0.07120869853217703,0.04167420614639649,0.9654201775397776
stride_time,cv,8.870709144074706,4.888040754759704,7.835120664703971,2.1712205577251957,3.577217656065562,0.40326174581600466,0.5901707686627216
stride_time,asymmetry,4.114756174762636,3.7254173554390837,4.886739160622981,3.77323831071921,5.4523504126651705,1.3250725391960059,-0.03613967975993636
stride_velocity,mean,0.5654661192603105,0.12785114071537512,0.5780489272814396,0.15002677974527592,0.029023330452579064,0.05132638272040887,0.982394925777562
stride_velocity,cv,18.164280639837703,8.648341948398265,14.338125688599918,2.803150180681709,7.4167959462389454,0.408317625855907,0.5115706871966322
stride_velocity,asymmetry,4.430290685976268,2.2730178147448274,6.88262152419293,6.161118428094379,8.15606745355924,1.8409779474237709,-0.40304047249705677
base_of_support,mean,0.1956031286727813,0.02682198206441933,0.10818625615007323,0.020008984119068082,0.08805078265115057,0.4501501752482095,0.9006671793817185
base_of_support,cv,8.819607201276096,3.3593381781795193,15.644438703570925,5.009225982328201,7.448427042254322,0.844530473100505,0.7553229091130773
base_of_support,asymmetry,4.955951680619658,2.7640899140275863,5.18011009257027,2.9178262972779514,4.311110242236989,0.8698854468447839,-0.14742697916286415
double_support_time,mean,0.4308856619570905,0.17584735593062373,0.24727871148459382,0.13140376252974556,0.20001000945804123,0.4641834879109046,0.8694212351249123
double_support_time,cv,23.078755430119454,5.508322124376562,46.20762240526721,14.817104503510238,26.249546622354657,1.1373900426232295,0.38334738793641276
double_support_time,asymmetry,8.459571037734976,8.662526427972495,17.593073167773614,9.582512035152531,12.64425379189089,1.4946684335990101,0.5418044746206336
swing_time,mean,0.6413367346938775,0.07503856953252822,0.722702614379085,0.08074228445584553,0.09631045809292392,0.1501714355078924,0.7814588180800683
swing_time,cv,10.834065281443356,6.318411060075521,13.402523229892276,7.615392350161712,4.714499095165746,0.435155130848322,0.8403790734227451
swing_time,asymmetry,6.32141101422811,4.728732860112237,12.898643536783169,12.710242878117992,12.811948788180269,2.0267545899710337,0.3426933668783487
knee_ext_rom,mean,54.44259875064342,4.572718117047415,34.486992984991026,6.084876330099589,20.91710430372327,0.38420473643308706,0.3216754719092756
knee_ext_rom,cv,7.7868079294350485,11.255884922665471,19.48758794033648,7.718217411085069,14.479239011762155,1.859457577864343,0.6094822582663034
knee_ext_rom,asymmetry,5.254314035929186,2.905966709761084,9.010200488459938,6.36187387401594,7.214684650212965,1.3730973445589083,0.22431562658380313
shoulder_flex_rom,mean,11.491897871072114,4.260950330437738,14.533081860785687,3.7608471627160127,4.080142670025236,0.3550451557958883,0.7709337477849287
shoulder_flex_rom,cv,29.569972273726396,8.178477152007629,34.77326053913644,10.586431955657249,8.606473391198527,0.29105449648478626,0.7373873068748539
shoulder_flex_rom,asymmetry,31.23018275053137,11.785402740238998,17.979742342181297,15.535555926695704,21.306645450386878,0.6822453016232943,0.26785129899629323
shoulder_abd_rom,mean,6.562511739750761,1.3063865865116224,4.826446484710195,1.2932098039305955,2.5900600573800054,0.3946751122274372,-0.09335528821615256
shoulder_abd_rom,cv,27.23143750103908,5.8452753269297535,35.69400635451205,4.172995726161208,10.180563176621007,0.3738533148032506,0.37905992636506297
shoulder_abd_rom,asymmetry,22.22803149800861,12.237873593969704,26.290461202239715,14.100568085896652,15.142040312402685,0.6812137329281385,0.38960643985805515
elbow_ext_rom,mean,23.26976718097123,15.536917006855548,40.243584759030554,8.889716874030016,21.278314327879,0.9144188750319455,0.48612848837741535
elbow_ext_rom,cv,58.08365582474721,37.02812695518195,56.311081580393726,30.31669981875869,51.999691715512235,0.8952551449655338,-0.17930496432088147
elbow_ext_rom,asymmetry,23.240614703069863,27.166708775842828,39.183226902901325,28.78783419113772,52.191876124176076,2.2457184025034427,-0.5763806403760099
