PARAMETER,METRIC,Q avg,Q std,S avg,S std,RMSE abs,RMSE rel,ICC
stride_length,mean,1.12012511357677,0.06870598231449491,1.1391633743493528,0.06859602044350399,0.020688160544722136,0.018469508712880254,0.9930463475636092
stride_length,cv,15.681934241143516,5.333268672604868,17.274405041328173,6.212934209759254,2.570435154185134,0.16391059385016904,0.9392763701883171
stride_length,asymmetry,9.71679707506568,4.939026370489079,10.044610346774453,6.303257508559514,2.2423544321251283,0.23077094384107752,0.9232641085166081
stride_time,mean,1.1988683513177998,0.15471626858992868,1.1453864809081529,0.14932972621728058,0.05446765342628987,0.04543255593194937,0.9976984670509321
stride_time,cv,5.486713994153988,0.8681970967589882,6.15409850055627,1.4637618370488814,1.0223758213349274,0.18633663471875034,0.7928954885215936
stride_time,asymmetry,3.827881770695857,1.7735019138352157,3.718149601094389,2.9392799123617404,1.3096855288469567,0.3421436730029605,0.8554703484310958
stride_velocity,mean,0.9526943944490306,0.15881262859119524,1.0120250293711428,0.16597782862689203,0.06061155863461588,0.06362119792850174,0.9970885628938276
stride_velocity,cv,15.04481393178407,4.540517944192332,15.807369888071204,5.403688372359159,1.9111561707053506,0.12703089445777668,0.9383527983051935
stride_velocity,asymmetry,8.415314886542726,4.759081677538408,9.202778016080103,3.926596296448637,2.249441240318663,0.26730327630589756,0.8833665446851485
base_of_support,mean,0.193894837742914,0.021599686650165813,0.10414294080544405,0.018815937970883278,0.09024336000501688,0.46542425293792994,0.8921977431663758
base_of_support,cv,11.693798688262682,3.2011912987018643,25.639624074787378,8.833319363965666,15.471997712970223,1.3230942421216643,0.4914008743954128
base_of_support,asymmetry,2.523543208036691,1.6794274054121598,5.190312469976746,5.027398636816927,4.367880819454203,1.730852400523152,0.5740653626972259
double_support_time,mean,0.23351207676052876,0.06661869558163974,0.13081652046783626,0.03764563696241452,0.10978502559400254,0.47014709952920014,0.7427307192759646
double_support_time,cv,22.4545655501787,4.26613187363521,45.77711413583627,21.700012585753978,32.09092494318595,1.429149224529555,0.006551418770190495
double_support_time,asymmetry,8.317993539646375,5.969352778492558,31.352533631541643,23.63525490339992,31.420488450342507,3.7774119804952737,0.2315514241955032
swing_time,mean,0.587077298024473,0.07832634330338707,0.5557627524694089,0.07412559454007611,0.03212148885136433,0.05471424113903534,0.9955983700675387
swing_time,cv,5.378967511377136,1.836520071444545,7.085474163777448,1.889234278449456,1.9129525271994496,0.3556356351201852,0.8923622715636707
swing_time,asymmetry,3.1906419076096055,2.744526690404124,4.191993899455768,2.981161307407169,2.188820991825418,0.6860127382534316,0.7692881049247012
knee_ext_rom,mean,36.627179164209174,5.450301753742936,26.31878998283164,5.840024380308996,12.290677186893504,0.3355616639706596,0.29796766937778146
knee_ext_rom,cv,8.97510271907392,7.931705215095792,14.300481782196659,3.160887440255605,10.989101770579238,1.2243984402791468,-0.2674443648752289
knee_ext_rom,asymmetry,12.703846821208371,12.24137562838764,7.8432766414884,5.71573655182932,15.078698866090642,1.1869396001310082,-0.11626664620377884
shoulder_flex_rom,mean,19.121645711247112,7.092430966846668,15.491247730809297,6.304326023004688,4.692604383466087,0.24540797661081837,0.9018208687722904
shoulder_flex_rom,cv,15.694239128758463,12.76127676983343,24.754102430846235,8.563754224831518,11.742107971101172,0.7481794991631471,0.7637646293296445
shoulder_flex_rom,asymmetry,26.284961632636634,12.664151253754525,9.068985566128765,5.510977375561461,22.03429231276923,0.8382851236659379,0.00855244633232206
shoulder_abd_rom,mean,5.575634273518666,0.5600987167811717,4.002053418713943,1.3002952434982142,2.117098046911646,0.37970532912582694,-0.0007329292766224233
shoulder_abd_rom,cv,15.827839574422757,11.649081571807372,35.2583634814091,4.768810156695443,22.05930849349143,1.393703062870217,0.31162581105743586
shoulder_abd_rom,asymmetry,18.922275225801922,13.793252605096223,20.22146768224145,15.041531103961672,20.677689138287928,1.0927697061552286,-0.022514810236429435
elbow_ext_rom,mean,20.96250861173864,9.923810887930998,23.2108937897138,7.724048521266716,10.565201357397315,0.5040046281236105,0.3261271204608516
elbow_ext_rom,cv,26.530179419492846,12.449026111803867,48.649605150245975,13.186121417906286,26.011231551420806,0.9804393381640402,0.43039682243027166
elbow_ext_rom,asymmetry,27.020291452711582,19.308879491438212,36.255201504874435,20.635450665388333,21.449728405201157,0.7938377882688826,0.5307016814609424
