NO_OF_FRAMES	6337
NO_OF_CAMERAS	6
NO_OF_MARKERS	23
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-11, 14:40:58.462	18661.47475990
DATA_INCLUDED	3D
MARKER_NAMES	right_big_toe	right_ankle	right_heel	left_big_toe	left_ankle	left_heel	right_knee	left_knee	right_hip_front	left_hip_front	right_hip_back	left_hip_back	right_shoulder	left_shoulder	right_ear	left_ear	nose	right_elbow	left_elbow	right_wrist	left_wrist	right_index_finger	left_index_finger
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	right_big_toe X	right_big_toe Y	right_big_toe Z	right_ankle X	right_ankle Y	right_ankle Z	right_heel X	right_heel Y	right_heel Z	left_big_toe X	left_big_toe Y	left_big_toe Z	left_ankle X	left_ankle Y	left_ankle Z	left_heel X	left_heel Y	left_heel Z	right_knee X	right_knee Y	right_knee Z	left_knee X	left_knee Y	left_knee Z	right_hip_front X	right_hip_front Y	right_hip_front Z	left_hip_front X	left_hip_front Y	left_hip_front Z	right_hip_back X	right_hip_back Y	right_hip_back Z	left_hip_back X	left_hip_back Y	left_hip_back Z	right_shoulder X	right_shoulder Y	right_shoulder Z	left_shoulder X	left_shoulder Y	left_shoulder Z	right_ear X	right_ear Y	right_ear Z	left_ear X	left_ear Y	left_ear Z	nose X	nose Y	nose Z	right_elbow X	right_elbow Y	right_elbow Z	left_elbow X	left_elbow Y	left_elbow Z	right_wrist X	right_wrist Y	right_wrist Z	left_wrist X	left_wrist Y	left_wrist Z	right_index_finger X	right_index_finger Y	right_index_finger Z	left_index_finger X	left_index_finger Y	left_index_finger Z	
11	0.10000	-1661.470	365.676	4.156	-1864.673	350.311	58.814	-1921.897	401.519	13.610	-1641.899	501.018	3.980	-1842.570	535.292	57.254	-1909.980	483.290	7.488	-1792.400	310.062	464.163	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.279	267.875	1475.692	-1816.315	658.963	1476.488	Nan	Nan	Nan	-1748.864	550.411	1645.021	-1632.646	445.584	1599.378	-1840.271	188.133	1111.695	-1873.360	713.638	1101.157	Nan	Nan	Nan	-1687.517	709.697	896.164	Nan	Nan	Nan	-1639.821	644.344	727.718
12	0.11000	-1661.459	365.649	4.124	-1864.643	350.236	58.878	-1921.897	401.496	13.639	-1641.883	500.936	3.932	-1842.577	535.271	57.296	-1909.980	483.290	7.488	-1792.463	309.972	464.121	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.321	267.727	1475.641	-1816.289	658.820	1476.470	Nan	Nan	Nan	-1748.830	550.103	1644.668	-1632.592	445.355	1599.409	-1840.212	188.151	1111.613	-1873.398	713.550	1101.225	Nan	Nan	Nan	-1687.519	709.608	896.202	Nan	Nan	Nan	-1639.812	644.299	727.715
13	0.12000	-1661.458	365.646	4.124	-1864.665	350.241	58.827	-1921.853	401.486	13.603	-1641.898	501.018	3.981	-1842.643	535.255	57.318	-1909.968	483.308	7.526	-1792.518	309.884	464.161	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.246	267.682	1475.569	-1816.312	658.676	1476.490	Nan	Nan	Nan	-1748.781	549.909	1644.647	-1632.659	445.351	1599.482	-1840.228	188.040	1111.375	-1873.374	713.386	1101.303	Nan	Nan	Nan	-1687.528	709.454	896.156	Nan	Nan	Nan	-1639.897	644.331	727.724
14	0.13000	-1661.511	365.680	4.002	-1864.665	350.241	58.827	-1921.889	401.483	13.566	-1641.964	501.017	3.895	-1842.593	535.230	57.224	-1910.008	483.331	7.400	-1792.551	309.865	464.064	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.281	267.531	1475.557	-1816.266	658.530	1476.521	Nan	Nan	Nan	-1748.812	549.747	1644.604	-1632.648	445.357	1599.556	-1840.233	188.034	1111.355	-1873.355	713.321	1101.298	Nan	Nan	Nan	-1687.396	709.485	896.174	Nan	Nan	Nan	-1639.977	644.151	727.658
15	0.14000	-1661.513	365.628	3.971	-1864.685	350.247	58.779	-1921.911	401.473	13.517	-1641.909	501.016	3.980	-1842.574	535.169	57.199	-1910.018	483.311	7.438	-1792.619	309.840	464.084	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.273	267.471	1475.529	-1816.305	658.440	1476.592	Nan	Nan	Nan	-1748.782	549.613	1644.558	-1632.541	444.903	1599.687	-1840.206	187.948	1111.252	-1873.333	713.173	1101.270	Nan	Nan	Nan	-1687.459	709.491	896.259	Nan	Nan	Nan	-1640.056	644.265	727.628
16	0.15000	-1661.530	365.616	4.001	-1864.685	350.247	58.779	-1921.924	401.451	13.513	-1641.936	500.997	3.984	-1842.559	535.186	57.242	-1910.019	483.312	7.437	-1792.683	309.748	464.036	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.346	267.343	1475.280	-1816.259	658.241	1476.540	Nan	Nan	Nan	-1748.713	549.477	1644.252	-1632.598	444.982	1599.759	-1840.212	187.948	1111.181	-1873.348	713.033	1101.299	Nan	Nan	Nan	-1687.424	709.369	896.214	Nan	Nan	Nan	-1640.016	644.051	727.614
17	0.16000	-1661.528	365.680	3.957	-1864.731	350.217	58.858	-1921.955	401.444	13.517	-1641.909	501.016	3.980	-1842.520	535.267	57.235	-1910.000	483.251	7.414	-1792.680	309.692	464.093	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.330	267.274	1475.251	-1816.298	658.151	1476.612	Nan	Nan	Nan	-1748.761	549.398	1644.149	-1632.860	445.993	1600.107	-1840.214	187.891	1111.086	-1873.395	712.935	1101.330	Nan	Nan	Nan	-1687.429	709.231	896.246	Nan	Nan	Nan	-1640.044	644.161	727.660
18	0.17000	-1661.571	365.691	4.025	-1864.743	350.154	58.824	-1921.972	401.469	13.491	-1641.910	501.015	3.980	-1842.555	535.207	57.198	-1910.008	483.256	7.328	-1792.681	309.690	464.090	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.394	267.201	1475.199	-1816.324	657.998	1476.610	Nan	Nan	Nan	-1748.685	549.363	1644.037	-1632.799	445.777	1600.349	-1840.264	187.809	1111.106	-1873.374	712.786	1101.301	Nan	Nan	Nan	-1687.457	709.252	896.253	Nan	Nan	Nan	-1640.000	643.948	727.647
19	0.18000	-1661.611	365.684	4.003	-1864.752	350.223	58.810	-1921.923	401.436	13.470	-1641.910	501.015	3.980	-1842.576	535.170	57.272	-1910.051	483.280	7.425	-1792.730	309.589	464.084	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.429	267.049	1475.182	-1816.293	657.862	1476.629	Nan	Nan	Nan	-1748.612	549.317	1643.927	-1633.014	446.474	1600.545	-1840.266	187.801	1110.999	-1873.408	712.613	1101.351	Nan	Nan	Nan	-1687.425	709.143	896.285	Nan	Nan	Nan	-1639.996	644.155	727.735
20	0.19000	-1661.576	365.640	3.993	-1864.723	350.147	58.873	-1921.994	401.417	13.487	-1641.911	501.015	3.980	-1842.582	535.174	57.188	-1910.004	483.254	7.408	-1792.663	309.612	464.061	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.465	266.877	1474.953	-1816.315	657.707	1476.694	Nan	Nan	Nan	-1748.615	549.325	1643.826	-1632.816	445.331	1600.911	-1840.268	187.743	1110.902	-1873.381	712.559	1101.381	Nan	Nan	Nan	-1687.425	709.143	896.285	Nan	Nan	Nan	-1639.956	643.942	727.722
